,Name,Price,Format,Rating,URL
0,"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are",$9.59,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Workbook-Women-Self-Doubt-Self-Compassion/dp/1647397294/ref=sr_1_1?dchild=1&keywords=self+love&qid=1633860677&sr=8-1
1,"The Self-Love Workbook: A Life-Changing Guide to Boost Self-Esteem, Recognize Your Worth and Find Genuine Happiness (Self-Love Books)",$14.10,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Self-Love-Workbook-Life-Changing-Self-Esteem-Recognize/dp/1612438660/ref=sr_1_2?dchild=1&keywords=self+love&qid=1633860677&sr=8-2
2,Self Love Poetry: For Thinkers & Feelers,$13.49,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Self-Love-Poetry-Thinkers-Feelers/dp/1524871222/ref=sr_1_3?dchild=1&keywords=self+love&qid=1633860677&sr=8-3
3,Unconditional: You Are Perfect As You Are: Manifest Your Healthiest and Happiest Life With the Healing Power of Self-Love,$12.99,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Unconditional-Manifest-Healthiest-Happiest-Self-Love/dp/B09B1DW43X/ref=sr_1_4?dchild=1&keywords=self+love&qid=1633860677&sr=8-4
4,What The Heck Is Self-Love Anyway?,$11.72,Paperback ,4.7 out of 5 stars,https://www.amazon.com//What-Self-Love-Anyway-Jonathon-Aslay/dp/1092498397/ref=sr_1_5?dchild=1&keywords=self+love&qid=1633860677&sr=8-5
5,"Good Vibes, Good Life: How Self-Love Is the Key to Unlocking Your Greatness",$13.49,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Good-Vibes-Life-Self-Love-Unlocking/dp/1788171829/ref=sr_1_7?dchild=1&keywords=self+love&qid=1633860677&sr=8-7
6,"Meditations on Self-Love: Daily Wisdom for Healing, Acceptance, and Joy",$14.39,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Meditations-Self-Love-Wisdom-Healing-Acceptance/dp/1647399491/ref=sr_1_8?dchild=1&keywords=self+love&qid=1633860677&sr=8-8
7,Love Yourself Like Your Life Depends on It,$0.00,Audible Audiobook ,4.5 out of 5 stars,https://www.amazon.com//Love-Yourself-Like-Your-Depends/dp/B07T9NYCFL/ref=sr_1_9?dchild=1&keywords=self+love&qid=1633860677&sr=8-9
8,"The Body Is Not an Apology, Second Edition: The Power of Radical Self-Love",$14.78,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Body-Not-Apology-Second-Self-Love/dp/1523090995/ref=sr_1_11?dchild=1&keywords=self+love&qid=1633860677&sr=8-11
9,The Self Love Journal: Banish Self-Doubt and Learn to Love Yourself,$9.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Self-Love-Journal-Self-Doubt-Yourself/dp/164152765X/ref=sr_1_12?dchild=1&keywords=self+love&qid=1633860677&sr=8-12
10,The Self-Love Bible: How I Learned to Love Myself,$16.05,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Bible-Learned-Love-Myself/dp/1999247302/ref=sr_1_13?dchild=1&keywords=self+love&qid=1633860677&sr=8-13
11,"Confidence & Self Love Workbook for Women: Real Ways to Love Yourself, Increase Your Self-Worth and Be Confident in Who You Are",$14.97,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Confidence-Self-Love-Workbook-Women/dp/B08Y6545XK/ref=sr_1_15?dchild=1&keywords=self+love&qid=1633860677&sr=8-15
12,Self-Love Guided Journal: A 30-day journey of self-discovery and emotional healing to help you feel good enough.,$14.99,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Guided-Journal-self-discovery-emotional/dp/1734662115/ref=sr_1_16?dchild=1&keywords=self+love&qid=1633860677&sr=8-16
13,"21-Day Challenges Box Set 1 - Self Love, Self Confidence, & Happiness",$0.00,Audible Audiobook ,3.7 out of 5 stars,https://www.amazon.com//21-Day-Challenges-Box-Set-Confidence/dp/B01BG8XFQK/ref=sr_1_17?dchild=1&keywords=self+love&qid=1633860677&sr=8-17
14,THE FUNNY THING ABOUT HEALING AND SELF-LOVE,$7.33,Paperback ,4.7 out of 5 stars,https://www.amazon.com//FUNNY-THING-ABOUT-HEALING-SELF-LOVE/dp/B08ZFW2MM9/ref=sr_1_18?dchild=1&keywords=self+love&qid=1633860677&sr=8-18
15,Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),$8.99,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Let-That-Sh-Go-Creating/dp/1250181909/ref=sr_1_19?dchild=1&keywords=self+love&qid=1633860677&sr=8-19
16,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,$8.45,Paperback ,4.7 out of 5 stars,https://www.amazon.com//You-Are-Badass%C2%AE-Doubting-Greatness/dp/0762447699/ref=sr_1_20?dchild=1&keywords=self+love&qid=1633860677&sr=8-20
17,"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again",$14.40,Hardcover ,4.8 out of 5 stars,https://www.amazon.com//Forgiving-What-You-Cant-Forget/dp/0718039874/ref=sr_1_21?dchild=1&keywords=self+love&qid=1633860677&sr=8-21
18,Rock Bottom is Where Bad Bitches Are Built: Find Your Footing; Conquer the Climb,$14.99,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Rock-Bottom-Where-Bitches-Built/dp/1736516108/ref=sr_1_22?dchild=1&keywords=self+love&qid=1633860677&sr=8-22
19,"After the Rain: Gentle Reminders for Healing, Courage, and Self-Love",$13.93,Hardcover ,4.9 out of 5 stars,https://www.amazon.com//After-Rain-Reminders-Healing-Self-Love/dp/1797200100/ref=sr_1_23?dchild=1&keywords=self+love&qid=1633860677&sr=8-23
20,"Good Morning, I Love You: Mindfulness and Self-Compassion Practices to Rewire Your Brain for Calm, Clarity, and Joy",$0.00,Audible Audiobook ,4.8 out of 5 stars,https://www.amazon.com//Good-Morning-Love-You-Self-Compassion/dp/B083LDZNYK/ref=sr_1_24?dchild=1&keywords=self+love&qid=1633860677&sr=8-24
21,"Guided Self-Care Journal with Prompts to Boost Mindfulness, Gratitude and Positivity | Improve Wellness and Self Love | Inspirational Birthday & Christmas Gift for Women & Men | Find Your Own Magic",$25.99,$25.99$25.99  ,4.6 out of 5 stars,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06180383M1YKOC3RMDN0&url=%2FFind-Your-Own-Magic-Productivity%2Fdp%2F6199142705%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dself%2Blove%26qid%3D1633860677%26sr%3D8-25-spons%26psc%3D1&qualifier=1633860677&id=6152999318525984&widgetName=sp_mtf
22,The Mastery of Self: A Toltec Guide to Personal Freedom,$13.95,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Mastery-Self-Toltec-Personal-Freedom/dp/1938289692/ref=sr_1_26?dchild=1&keywords=self+love&qid=1633860677&sr=8-26
23,Why Men Love Bitches: From Doormat to Dreamgirl―A Woman's Guide to Holding Her Own in a Relationship,$6.39,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Why-Men-Love-Bitches-Relationship/dp/1580627560/ref=sr_1_27?dchild=1&keywords=self+love&qid=1633860677&sr=8-27
24,Coffee Self-Talk: 5 Minutes a Day to Start Living Your Magical Life,$12.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Coffee-Self-Talk-Minutes-Living-Magical/dp/0982372264/ref=sr_1_28?dchild=1&keywords=self+love&qid=1633860677&sr=8-28
25,"Love Yourself First: How to Heal from Toxic People, Create Healthy Relationships & Become a Confident Woman (The Love Yourself Series)",$15.99,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Love-Yourself-First-Relationships-Confident/dp/1734695102/ref=sr_1_29?dchild=1&keywords=self+love&qid=1633860677&sr=8-29
26,True You: A Self-Discovery Journal of Prompts and Exercises to Inspire Reflection and Growth,$11.66,Paperback ,4.6 out of 5 stars,https://www.amazon.com//True-You-Self-Discovery-Exercises-Reflection/dp/164611633X/ref=sr_1_31?dchild=1&keywords=self+love&qid=1633860677&sr=8-31
27,"Soul Therapy: A 365 day journal for self exploration, healing and reflection",$19.95,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Soul-Therapy-journal-exploration-reflection/dp/1987415132/ref=sr_1_33?dchild=1&keywords=self+love&qid=1633860677&sr=8-33
28,"Self Care Workbook for Black Women : 52 Week Guided Check-in Journal, Planner & Activity Book for Well-being: 12 Months of Self Care for Black Women Who Do Too Much",$12.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Self-Workbook-Black-Women-Check/dp/B08RRMS9CT/ref=sr_1_34?dchild=1&keywords=self+love&qid=1633860677&sr=8-34
29,A Year of Self Love: Daily Wisdom and Inspiration for Loving Yourself (A Year of Daily Reflections),$12.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Year-Self-Love-Inspiration-Yourself/dp/1641527641/ref=sr_1_35?dchild=1&keywords=self+love&qid=1633860677&sr=8-35
30,"Self-Love Workbook for Men: Recognize Your Worth, Build Self-Confidence, Overcome Self-Doubt, and Embrace Who You Are",$0.00,Kindle ,0,https://www.amazon.com//Self-Love-Workbook-Men-Self-Confidence-Self-Doubt-ebook/dp/B09HMX16LT/ref=sr_1_36?dchild=1&keywords=self+love&qid=1633860677&sr=8-36
31,"The Self-Discovery Journal: 52 Weeks of Reflection, Inspiration, and Growth",$13.49,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Self-Discovery-Journal-Reflection-Inspiration-Growth/dp/1648767672/ref=sr_1_37?dchild=1&keywords=self+love&qid=1633860677&sr=8-37
32,"Love Yourself First!: Boost Your Self-Esteem in 30 Days: Change Your Habits, Change Your Life, Book 4",$0.00,Audible Audiobook ,4.6 out of 5 stars,https://www.amazon.com//Love-Yourself-First-Self-Esteem-Change/dp/B07YYM54LT/ref=sr_1_38?dchild=1&keywords=self+love&qid=1633860677&sr=8-38
33,Be Unapologetically You: A Self Love Guide for Women of Color,$13.80,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Be-Unapologetically-You-Guide-Women/dp/0994863780/ref=sr_1_39?dchild=1&keywords=self+love&qid=1633860677&sr=8-39
34,"The 21-Day Self-Love Challenge: Learn How to Love Yourself Unconditionally, Cultivate Self-Worth, Self-Compassion and Confidence: 21-Day Challenges, Volume 6",$0.00,Audible Audiobook ,4.3 out of 5 stars,https://www.amazon.com//The-21-Day-Self-Love-Challenge-audiobook/dp/B0182V8W26/ref=sr_1_40?dchild=1&keywords=self+love&qid=1633860677&sr=8-40
35,A Year of Self-Esteem: Daily Reflections and Practices for Embracing Your Worth (A Year of Daily Reflections),$16.19,Paperback ,5.0 out of 5 stars,https://www.amazon.com//Year-Self-Esteem-Reflections-Practices-Embracing/dp/1638073406/ref=sr_1_41?dchild=1&keywords=self+love&qid=1633860677&sr=8-41
36,"Finding My Awesome: Confidence, Self-Love, and Joy",$15.99,Hardcover ,5.0 out of 5 stars,https://www.amazon.com//Finding-My-Awesome-Confidence-Self-Love/dp/0578943824/ref=sr_1_42?dchild=1&keywords=self+love&qid=1633860677&sr=8-42
37,"The Self Care Prescription Journal: Powerful Prompts to Manage Emotions, Cultivate Well-Being, and Achieve Your Goals",$13.49,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Self-Care-Prescription-Journal-Well-Being/dp/1648766781/ref=sr_1_43?dchild=1&keywords=self+love&qid=1633860677&sr=8-43
38,Women Who Love Too Much: When You Keep Wishing and Hoping He'll Change,$0.00,Audible Audiobook ,4.6 out of 5 stars,https://www.amazon.com//Women-Who-Love-Too-Much-audiobook/dp/B00AHYGI8W/ref=sr_1_44?dchild=1&keywords=self+love&qid=1633860677&sr=8-44
39,"Stop Overthinking: 23 Techniques to Relieve Stress, Stop Negative Spirals, Declutter Your Mind, and Focus on the Present",$13.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Stop-Overthinking-Techniques-Declutter-Emotional/dp/B08XLLF3PG/ref=sr_1_45?dchild=1&keywords=self+love&qid=1633860677&sr=8-45
40,A Year of Self-Care: Daily Practices and Inspiration for Caring for Yourself (A Year of Daily Reflections),$14.69,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Year-Self-Care-Practices-Inspiration-Yourself/dp/1648765092/ref=sr_1_46?dchild=1&keywords=self+love&qid=1633860677&sr=8-46
41,"Beautifully Brave: An Unconventional Guide to Owning Your Worth, Cultivating Self-Love, and Standing in Your Power",$21.99,Hardcover ,4.9 out of 5 stars,https://www.amazon.com//Beautifully-Brave-Unconventional-Cultivating-Self-Love/dp/1631067486/ref=sr_1_47?dchild=1&keywords=self+love&qid=1633860677&sr=8-47
42,"Self-Love For Men Workbook: A Powerful Guide To Build Self-Esteem, Confidence, And Overcome Self-Doubt",$8.10,Paperback ,2.0 out of 5 stars,https://www.amazon.com//Self-Love-Men-Workbook-Self-Esteem-Confidence/dp/B09CRY3BF9/ref=sr_1_48?dchild=1&keywords=self+love&qid=1633860677&sr=8-48
43,Untamed,$0.00,Audible Audiobook ,4.6 out of 5 stars,https://www.amazon.com//Untamed-Glennon-Doyle-audiobook/dp/B07Z44CWFM/ref=sr_1_49?dchild=1&keywords=self+love&qid=1633860677&sr=8-49
44,Love Yourself: 100 Empowering Affirmations to Celebrate You,$11.69,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Love-Yourself-Empowering-Affirmations-Celebrate/dp/1648766773/ref=sr_1_49?dchild=1&keywords=self+love&qid=1633860682&sr=8-49
45,Self-Love Workbook for First-Time Moms: A Road Map to Falling in Love with Yourself Again,$14.76,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Workbook-First-Time-Moms-Yourself/dp/1648769624/ref=sr_1_50?dchild=1&keywords=self+love&qid=1633860682&sr=8-50
46,"30 Days of Self-Love: A guided journal for self-love, discovery and wellness",$14.99,Paperback ,0,https://www.amazon.com//30-Days-Self-Love-self-love-discovery/dp/B09GJQ3ST5/ref=sr_1_51?dchild=1&keywords=self+love&qid=1633860682&sr=8-51
47,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",$0.00,Audible Audiobook ,4.5 out of 5 stars,https://www.amazon.com//The-5-Second-Rule-Mel-Robbins-audiobook/dp/B06W9M3QDJ/ref=sr_1_52?dchild=1&keywords=self+love&qid=1633860682&sr=8-52
48,Get Out of Your Own Way: Overcoming Self-Defeating Behavior,$13.99,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Get-Out-Your-Own-Self-Defeating/dp/0399519904/ref=sr_1_53?dchild=1&keywords=self+love&qid=1633860682&sr=8-53
49,"Gaslighting & Narcissistic Abuse Recovery: Recover from Emotional Abuse, Recognize Narcissists & Manipulators and Break Free Once and for All",$12.99,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Gaslighting-Narcissistic-Abuse-Recovery-Manipulators/dp/B091F1BDNK/ref=sr_1_55?dchild=1&keywords=self+love&qid=1633860682&sr=8-55
50,Self Love is Not Selfish: Unlocking Internal Wealth,$14.99,Paperback ,4.8 out of 5 stars,https://www.amazon.com//Self-Love-Not-Selfish-Unlocking/dp/B08T6BQ4Y7/ref=sr_1_56?dchild=1&keywords=self+love&qid=1633860682&sr=8-56
51,Malignant Self-Love: Narcissism Revisited,$33.80,Paperback ,4.7 out of 5 stars,https://www.amazon.com//Malignant-Self-Love-Narcissism-Sam-Vaknin/dp/8023833847/ref=sr_1_57?dchild=1&keywords=self+love&qid=1633860682&sr=8-57
52,"Shut up!: 7 Simple Steps to Master Your Negative Self-Talk, Understand Anxiety, Stop Beating Yourself up, Then Take Back Power, and Build Good Habits",$9.97,Paperback ,4.6 out of 5 stars,https://www.amazon.com//Shut-Negative-Self-Talk-Understand-Yourself/dp/B09DFS25XZ/ref=sr_1_58?dchild=1&keywords=self+love&qid=1633860682&sr=8-58
53,100 Things I Love About You: A Journal (100 Things I Love About You Journal),$7.96,Paperback ,4.7 out of 5 stars,https://www.amazon.com//100-Things-Love-About-You/dp/1647398207/ref=sr_1_59?dchild=1&keywords=self+love&qid=1633860682&sr=8-59
54,Love & Respect: The Love She Most Desires; The Respect He Desperately Needs,$14.45,Hardcover ,4.7 out of 5 stars,https://www.amazon.com//Love-Respect-Desires-Desperately-Needs/dp/1591451876/ref=sr_1_60?dchild=1&keywords=self+love&qid=1633860682&sr=8-60
55,Negative Self-Talk and How to Change It,$3.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Negative-Self-Talk-Change-Helmstetter-Ph-D/dp/099708619X/ref=sr_1_62?dchild=1&keywords=self+love&qid=1633860682&sr=8-62
56,"I'm Awesome: Teen Self Esteem Journal, Workbook to Boost Self Esteem, Guide to Overcome Insecurities, Boost Your Confidence&Fall in Love with ... Book (Self-Esteem and Confidence Journals)",$7.99,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Im-Awesome-Insecurities-Confidence-Self-Esteem/dp/B08K41YJCB/ref=sr_1_63?dchild=1&keywords=self+love&qid=1633860682&sr=8-63
57,"Eliminate Negative Thinking: How to Overcome Negativity, Control Your Thoughts, And Stop Overthinking. Shift Your Focus into Positive Thinking, Self-Acceptance, And Radical Self Love",$14.69,Paperback ,4.5 out of 5 stars,https://www.amazon.com//Eliminate-Negative-Thinking-Overthinking-Self-Acceptance/dp/1647800846/ref=sr_1_64?dchild=1&keywords=self+love&qid=1633860682&sr=8-64
58,"Codependency: 4 Steps to Deal with Codependency: Boost Self-Esteem, Love Yourself, Learn to Be Alone, and Stop Controlling Others.",$0.00,Audible Audiobook ,5.0 out of 5 stars,https://www.amazon.com//Codependency-Self-Esteem-Yourself-Controlling-Others/dp/B09HN7N7ZD/ref=sr_1_65?dchild=1&keywords=self+love&qid=1633860682&sr=8-65
59,How to Be Nice to Yourself: The Everyday Guide to Self Compassion: Effective Strategies to Increase Self-Love and Acceptance,$10.29,Paperback ,4.4 out of 5 stars,https://www.amazon.com//How-Nice-Yourself-Compassion-Strategies/dp/1641522615/ref=sr_1_66?dchild=1&keywords=self+love&qid=1633860682&sr=8-66
60,The Self-Love Oracle,$17.70,Cards ,4.7 out of 5 stars,https://www.amazon.com//Self-Love-Oracle-Janet-Chui/dp/1582708177/ref=sr_1_67?dchild=1&keywords=self+love&qid=1633860682&sr=8-67
61,"Self Love and Spiritual Alchemy: Transform Your Mindset, Strengthen Your Self-Worth and Manifest the Life You Desire.",$0.00,Audible Audiobook ,4.6 out of 5 stars,https://www.amazon.com//Self-Love-Spiritual-Alchemy-Strengthen/dp/B092CJ1G32/ref=sr_1_68?dchild=1&keywords=self+love&qid=1633860682&sr=8-68
